EXAMINATIONS
Check Up Examination
Ear-Nose-Throat Examination
Gynecologycal Examination
Chest Diseases Examination
Eye Diseases Examination
Dermatology Examination
Cardiology Examination
Diet Examination
DENTAL SERVICES
Dentist Examination
Panoramic X-Ray 4
Upper Jaw Tartat Removel
Lower Jaw Tartar Removel
CARDIOLOGY EXAMINATIONS
ECG with Effort 1
ECG 1
Echocardiography (Doppler+Colored+M+B Mode) 1
Tension Holter (24 Hours)
RADIOLOGICAL EXAMINATIONS
Cardiac CT - Calcium Scoring
Thorax CT (for screening purpose / low dose)
Thyroid Ultrasonography
Whole Abdominal Ultrasonography
Breast Ultrasonography (two sides) 2
Carotis Bilateral Color Doppler USG
Mammography (Bilateral) 2
Bone Density Measurement (Femur)
Bone Density Measurement (Lumbar AP)
MRI, Angiography (Intracranial)(Non-contrast)(3.0 T)
Brain (Cranium) MR (1,5 T)
NEUROLOGY EXAMINATIONS
Sleep - Polysomnography
AUDIOLOGY EXAMINATIONS
Audio and Timpanometry
Pure Tone Audiometry
RESPIRATORY TREATMENT TESTS
Respiratory Function Test
INITIATIVES
Dermatoscopy
EVALUATION OF BODY DATA
Bioimpedancemetry for Determination of Body Composition 
PATHOLOGICAL EXAMINATIONS
Cytopathology, thin prep
Stomach, biopsy
Column, biopsy
ENDOSCOPIC APPLICATIONS
Esophagoscopy, gastroscopy, duodenoscopy + biopsy
Colonoscopic polypectomy, 1-3 polyps (with cold/hot snare/hot forceps) (Completely excised polyp with a diameter of 5 mm and above)
Colonoscopy + biopsy
ANESTHESIA EXAMINATIONS
Sedation and Local Anesthesia
LABORATORY EXAMINATIONS
Alpha-Fetoprotein (AFP)
Alkaline Phosphatase (ALP)
Alanin Aminotransferase (ALT)
Aspartate Aminotransferase (AST)
Amylase
Zinc (Zn)
Iron
Iron Binding Capacity
Ferritin
Folic Acid
Occult Blood, Stool
Gamma Glutamyl Transferase (GGT)
Glucose, Fasting
Hemoglobin A1c (HbA1c)
Homocysteine
Calcium (Ca)
Chloride (Cl)
Creatinine, Serum
Lactate Dehydrogenase (LDH)
Lipase
Check up lipid paneli
Lipoprotein (a) (Lp(a))
Magnesium (Mg)
Potassium (K)
Protein, Total
Sodium (Na)
Urinalysis
Blood Urea Nitrogen (BUN)
Uric Acid
Vitamin B12
Vitamin D, 25-Hydroxy
aPTT
Whole Blood Count (Expanded panel)
Prolactin (PRL)
Thyroid Stimulating Hormone (TSH)
Thyroxin, Free (FT4)
Triiodothyronine, Free (FT3)
CA 125
CA 15-3
CA 19-9
Culture, Throat
Parasites, Stool
Culture, Urine
Hepatitis B s Antigen (HBsAg)
Hepatitis B s Antibody (anti-HBs)
Hepatitis C Antibody (anti-HCV)
HIV Antibody (1-2) + p24 Antigen
Insulin

































































































































































































































































































































































































































































































































































































































































































































































































































































































































