EXAMINATIONS
Check Up examination
Cardiological Examination
Gyenecological Examination
Dermatology Examination or Eye Examination
Dentist Examination
Diet Examination
RADIOLOGICAL EXAMINATIONS
Chest x-ray Posterior / Anterior
Thyroid Ultrasonography
Whole Abdominal Ultrasonography
Breast Ultrasonography (Two Sides) 2
Mammography (Bilateral) 2
Bone Density Measurement (Whole Body) 3
Panoramic X-Ray 4
CARDIOLOGY EXAMINATIONS
ECG
Echocardiography (Doppler + Colored + M + B Mode) 1
LABORATORY EXAMINATIONS
Alanin Aminotransferase (ALT)
Aspartate Aminotransferase (AST)
Iron
Iron Binding Capacity
Ferritin
Magnesium (Mg)
Folic Acid
Occult Blood, Stool
Glucose, Fasting
Hemoglobin A1c (HbA1c)
Calcium (Ca)
Cholesterol, HDL
Cholesterol, LDL (Direct)
Cholesterol, Total
Creatinine, Serum
Lipase
Lipoprotein (a) (Lp(a))
Check Up Lipid Panel
Urinalysis
Triglycerides 
Blood Urea Nitrogen (BUN)
Uric Acid
Vitamin B12
Vitamin D, 25-Hydroxy
C-Reactive Protein (CRP), Quantitative
Whole Blood Count (Expanded Panel) 
Insulin
Thyroid Stimulating Hormone (TSH) 
Thyroxin, Free (FT4)
CA 125
CA 15-3
CA 19-9
Hepatitis Bs Antigen (HBsAg)
Hepatitis Bs Antibody (anti-HBs)
Hepatitis C Antibody (anti-HCV)
PATHOLOGICAL EXAMINATIONS
Cytopathology, Thin Prep
EVALUATION of BODY DATA
Bioimpedancemetry for Determination of Body Composition












































































































































































































































































































































































































































































































































































































































































































































































































































































































































































