EXAMINATIONS
Check Up Examination
Cardiological Examination
Urology Examination
RADIOLOGICAL EXAMINATIONS
Chest X-Ray Posterior / Anterior
Thyroid Ultrasonography
Whole Abdominal Ultrasonography
CARDIOLOGY EXAMINATIONS
ECG 1
Echocardiography (Doppler + Colored + M + B Mode) 1
LABORATORY EXAMINATIONS
Alanin Aminotransferase (ALT)
Aspartate Aminotransferase (AST) 
Iron
Iron Binding Capacity 
Ferritin
Magnesium (Mg)
Folic Acid
Occult Blood, Stool
Glucose, Fasting
Calcium (Ca)
Cholesterol, HDL
Cholesterol, LDL (Direct)
Cholesterol, Total
Creatinine, Serum
Check Up Lipid Panel
Urinalysis
Triglycerides
Blood Urea Nitrogen (BUN)
Uric Acid
C-Reactive Protein (CRP), Quantitative
Whole Blood Count (Expanded Panel)
Insulin
Testosterone, Total
Testosterone, Bioavailable
Thyroid Stimulating Hormone (TSH)
Thyroxin, Free (FT4)
Prostate Specific Antigen (PSA), Total 3
Prostate Specific Antigen (PSA), Free 3
Hepatitis Bs Antigen (HBsAg)
Hepatitis Bs Antibody (anti-HBs)
Hepatitis C Antibody (anti-HCV)



























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































