EXAMINATIONS
Check Up examination
Cardiological Examination
Urology Examination
Chest Diseases Examination or Eye Examination
Dentist Examination
Diet Examination
RADIOLOGICAL EXAMINATIONS
Chest x-ray Posterior / Anterior
Thorax CT (For Screening Purpose / Low Dose)
Thyroid Ultrasonography
Whole Abdominal Ultrasonography
Panoramic X-Ray 3
CARDIOLOGY EXAMINATIONS
ECG 1
Echocardiography (Doppler + Colored + M + B Mode) 1
LABORATORY EXAMINATIONS
Alanin Aminotransferase (ALT)
Aspartate Aminotransferase (AST)
Iron
Iron Binding Capacity
Ferritin
Magnesium (Mg)
Folic Acid
Occult Blood, Stool
Glucose, Fasting
Hemoglobin A1c (HbA1c)
Calcium (Ca)
Cholesterol, HDL
Cholesterol, LDL (Direct)
Cholesterol, Total
Creatinine, Serum
Lipase
Lipoprotein (a) (Lp(a))
Check Up Lipid Panel
Urinalysis
Triglycerides
Blood Urea Nitrogen (BUN)
Uric Acid
Vitamin B12
Vitamin D, 25-Hydroxy
C-Reactive Protein (CRP), Quantitative
Whole Blood Count (Expanded Panel)
Insulin
Testosterone, Total
Testosterone, Bioavailable
Thyroid Stimulating Hormone (TSH)
Thyroxin, Free (FT4)
CA 15-3
CA 19-9
Prostate Specific Antigen (PSA), Total 2
Prostate Specific Antigen (PSA), Free 2
Hepatitis Bs Antigen (HBsAg)
Hepatitis Bs Antibody (anti-HBs)
Hepatitis C Antibody (anti-HCV)
EVALUATION of BODY DATA
Bioimpedancemetry for Determination of Body Composition













































































































































































































































































































































































































































































































































































































































































































































































































































































































































































